Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.0,4442.26,5219.66,6054.81,2012
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.0,2571.99,3022.09,3505.63,2012
ABILIFY 10MG 28TAB,28.0,500.36,587.92,681.99,2012
ABILIFY 15MG 28TAB,28.0,484.86,569.72,660.87,2012
ABILIFY 30MG 28TAB,28.0,751.8,883.36,1024.7,2012
ABILIFY 5MG 28TAB,28.0,467.65,549.49,637.41,2012
ABITREN 100MG 10 SR TAB,10.0,8.57,11.75,13.63,2012
ABITREN 100MG 20 SR TAB,20.0,17.15,23.49,27.25,2012
ABITREN 25MG 20TAB,20.0,4.19,5.74,6.66,2012
ABITREN 50MG 10SUPP,10.0,8.01,10.97,12.73,2012
ABITREN INJ 75MG/3CC,5.0,7.98,10.94,12.69,2012
ACERIL 12.5MG 90TAB,90.0,20.07,27.5,31.9,2012
ACERIL 25MG 90TAB,90.0,35.42,48.53,56.3,2012
ACERIL 50MG 90TAB,90.0,63.7,85.68,99.39,2012
ACLASTA 5MG/100ML 1BOTTLE,1.0,1721.87,2023.2,2346.91,2012
ACNETRIM SOL 25ML,25.0,11.98,16.41,19.03,2012
ACOMPLIA 20MG 28TAB,28.0,,,,2012
ACROSE 100MG 30TAB,30.0,23.34,31.98,37.1,2012
ACROSE 50MG 30TAB,30.0,16.34,22.38,25.96,2012
ACTEMRA 20MG/ML 1X10ML(200mg) CONC. FOR SOLUTION FOR INF.,1.0,1749.5,2055.66,2384.57,2012
ACTEMRA 20MG/ML 1X20ML(400mg) CONC. FOR SOLUTION FOR INF.,1.0,3446.08,4049.14,4697.01,2012
ACTEMRA 20MG/ML 1X4ML(80mg) CONC. FOR SOLUTION FOR INF.,1.0,707.34,831.13,964.11,2012
ACTIQ 1200MCG 30 COMPRESSED TAB,30.0,1066.02,1252.57,1452.99,2012
ACTIQ 1600MCG 30 COMPRESSED TAB,30.0,1066.02,1252.57,1452.99,2012
ACTIQ 200MCG 30 COMPRESSED TAB,30.0,960.71,1128.84,1309.45,2012
ACTIQ 400MCG 30 COMPRESSED TAB,30.0,960.71,1128.84,1309.45,2012
ACTIQ 600MCG 30 COMPRESSED TAB,30.0,960.71,1128.84,1309.45,2012
ACTIQ 800MCG 30 COMPRESSED TAB,30.0,964.97,1133.84,1315.25,2012
ACTIVELLE 28TAB,28.0,36.1,49.45,57.37,2012
ACTONEL 30MG 28TAB,28.0,646.19,759.27,880.75,2012
ACTONEL 5MG 28TAB,28.0,80.74,108.59,125.97,2012
ACTONEL 75MG 2TAB,2.0,91.99,123.73,143.52,2012
