Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.0,3866.0,4542.55,5360.21,2014
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.0,2335.18,2743.84,3237.73,2014
ABILIFY 10MG 28TAB,28.0,467.46,549.27,648.14,2014
ABILIFY 15MG 28TAB,28.0,456.3,536.15,632.66,2014
ABILIFY 30MG 28TAB,28.0,720.59,846.69,999.1,2014
ABILIFY 5MG 28TAB,28.0,432.43,508.11,599.57,2014
ABITREN 100MG 10 SR TAB,10.0,7.78,10.65,12.57,2014
ABITREN 100MG 20 SR TAB,20.0,15.55,21.31,25.14,2014
ABITREN 50MG 10SUPP,10.0,8.11,11.11,13.11,2014
ABITREN INJ 75MG/3CC,5.0,8.24,11.29,13.33,2014
ABSTRAL 100MCG 30TAB SUBLINGUAL,30.0,883.54,1038.15,1225.02,2014
ABSTRAL 200MCG 30TAB SUBLINGUAL,30.0,902.4,1060.32,1251.17,2014
ABSTRAL 400MCG 30TAB SUBLINGUAL,30.0,908.3,1067.25,1259.36,2014
ABSTRAL 600MCG 30TAB SUBLINGUAL,30.0,908.3,1067.25,1259.36,2014
ACERIL 12.5MG 90TAB,90.0,22.61,30.97,36.55,2014
ACERIL 25MG 90TAB,90.0,27.17,37.22,43.92,2014
ACERIL 50MG 90TAB,90.0,50.32,67.68,79.86,2014
ACLASTA 5MG/100ML 1BOTTLE,1.0,1567.38,1841.68,2173.18,2014
ACNETRIM SOL 25ML,25.0,14.22,19.48,22.99,2014
ACOMPLIA 20MG 28TAB,28.0,,,,2014
ACROSE 100MG 30TAB,30.0,20.8,28.49,33.62,2014
ACROSE 50MG 30TAB,30.0,15.33,21.01,24.79,2014
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1.0,1665.64,1957.13,2309.41,2014
ACTEMRA 20MG/ML 1X20ML(400MG) CONC. FOR SOLUTION FOR INF.,1.0,3284.52,3859.31,4553.99,2014
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1.0,673.42,791.27,933.7,2014
ACTIQ 1200MCG 30 COMPRESSED TAB,30.0,997.41,1171.96,1382.91,2014
ACTIQ 1600MCG 30 COMPRESSED TAB,30.0,997.41,1171.96,1382.91,2014
ACTIQ 200MCG 30 COMPRESSED TAB,30.0,902.4,1060.32,1251.17,2014
ACTIQ 400MCG 30 COMPRESSED TAB,30.0,908.3,1067.25,1259.36,2014
ACTIQ 600MCG 30 COMPRESSED TAB,30.0,908.3,1067.25,1259.36,2014
ACTIQ 800MCG 30 COMPRESSED TAB,30.0,912.34,1072.01,1264.97,2014
ACTIVELLE 28TAB,28.0,39.17,52.69,62.17,2014
ACTONEL 30MG 28TAB,28.0,596.41,700.79,826.93,2014
ACTONEL 5MG 28TAB,28.0,65.37,87.93,103.76,2014
ACTONEL 75MG 2TAB,2.0,71.15,95.69,112.91,2014
ACTONEL ONCE A MONTH 150 MG 1 F.C. TAB,,,,,2014
ACTONEL ONCE A WEEK 35MG 4TAB,4.0,49.06,65.98,77.86,2014
ACTOS 15MG 28TAB,28.0,71.43,96.07,113.36,2014
ACTOS 30MG 28TAB,28.0,126.02,157.52,185.88,2014
ACTOS 45MG 28TAB,28.0,178.88,223.6,263.85,2014
ACYCLOVENIR 250MG 5VIAL/10ML,5.0,176.95,221.19,261.0,2014
ADAFERIN CREAM 0.1% 30GR,30.0,26.5,36.3,42.84,2014
ADAFERINE GEL 30GR,30.0,26.5,36.3,42.84,2014
ADIZEM CD 120MG 30CAP,30.0,25.31,34.67,40.91,2014
ADIZEM CD 180MG 30CAP,30.0,32.46,44.47,52.47,2014
ADIZEM CD 240MG 30CAP,30.0,44.61,60.0,70.8,2014
AERIUS 5MG 15TAB,15.0,11.15,15.27,18.02,2014
AERIUS 5MG 30TAB,30.0,22.3,30.55,36.05,2014
AERIUS SYRUP 0.5MG/ML 120ML,120.0,11.64,15.95,18.82,2014
AEROVENT SOL 20ML,20.0,23.78,32.58,38.44,2014
AFINITOR 10MG 30TABLETS,30.0,16194.87,19028.98,22454.19,2014
AFINITOR 2.5MG 30TABLETS,30.0,6331.4,7439.39,8778.48,2014
AFINITOR 5MG 30TABLETS,30.0,11750.35,13806.66,16291.86,2014
AFLUMYCIN CREAM 20GR,20.0,,,,2014
AGGRASTAT 0.05MG/ML BAG 250ML,250.0,885.7,1040.7,1228.02,2014
AGGRENOX 60 CAPS,60.0,52.33,70.38,83.05,2014
AGIOLAX GRANULES 200GR,200.0,46.1,62.0,73.17,2014
AGISERC 16MG 30TAB,30.0,12.1,16.58,19.57,2014
AGISPOR CREAM 15GR,15.0,18.97,26.0,30.67,2014
AGISPOR GEL 15GR,15.0,8.15,11.16,13.17,2014
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10.0,90.25,121.39,143.24,2014
AGISPOR SHAMPO 100ML,100.0,,,,2014
AGISPOR SOL 15ML,15.0,12.83,17.57,20.74,2014
AGISTEN 1 VAGINAL TAB  0.5GR,1.0,9.15,12.53,14.79,2014
AGISTEN 3 VCR 20GR 2%,20.0,17.02,23.32,27.52,2014
AGISTEN 6 VAGINAL TAB 0.1GR,6.0,8.47,11.61,13.7,2014
AGRIPPAL S1,1.0,24.59,33.69,39.76,2014
AGRYLIN 0.5MG 100CAP,100.0,1927.35,2264.64,2672.27,2014
AHISTON 2MG 20TAB,20.0,13.52,18.52,21.85,2014
AKNE-MYCIN EMUL. 25G,25.0,,,,2014
AKNE-MYCIN PLUS SOL 25ML,25.0,40.29,54.2,63.95,2014
AKNE-MYCIN SOL 25ML,25.0,14.22,19.48,22.99,2014
ALCON AZOPT 1% 5ML,5.0,43.0,57.84,68.25,2014
ALDACTONE 25MG 20T,20.0,7.48,10.25,12.1,2014
ALDARA 5% CREAM 12SACH,12.0,279.87,328.85,388.05,2014
ALDOSPIRONE 100MG 20TAB,20.0,14.66,20.09,23.71,2014
ALDOSPIRONE 25MG 20TAB,20.0,7.48,10.25,12.1,2014
ALDURAZYME 500U/5ML 1VIAL(5ML),1.0,3234.31,3800.32,4484.37,2014
ALENDRONATE TEVA 10MG 30TAB,30.0,59.25,79.69,94.03,2014
ALENDRONATE TEVA 70MG 4TAB,4.0,38.03,51.15,60.36,2014
ALFU-KAL XL 10MG 30TAB,30.0,54.61,73.45,86.67,2014
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30.0,54.61,73.45,86.67,2014
ALIMTA 100MG/VIAL VIAL 10ML,1.0,1134.85,1333.45,1573.48,2014
ALIMTA 500MG/VIAL VIAL 50ML,1.0,5654.61,6644.17,7840.12,2014
ALKERAN  2MG 25 TABS,25.0,93.32,125.52,148.12,2014
ALKERAN INJ 50MG/10ML,1.0,122.47,153.08,180.64,2014
ALLEGRO NASAL SPRAY 15ML (120DOSES),120.0,34.75,47.61,56.18,2014
ALLORIL 100MG 50TAB,50.0,7.94,10.88,12.84,2014
ALLORIL 300MG 20TAB,20.0,6.56,8.99,10.61,2014
ALOMIDE 10ML,10.0,32.76,44.88,52.95,2014
ALPHA D3 0.25MCG 30CAP,30.0,17.47,23.93,28.24,2014
ALPHA D3 0.25MCG 50CAP,50.0,29.11,39.88,47.06,2014
ALPHA D3 1MCG 30CAP,30.0,44.47,59.81,70.58,2014
ALPHA D3 1MCG 50CAP,50.0,74.11,99.68,117.63,2014
ALPHAGAN P 0.15% 5ML,5.0,,,,2014
ALPRALID 0.25MG 30TAB,30.0,6.85,9.38,11.07,2014
ALPRALID 0.50MG 30TAB,30.0,10.19,13.96,16.47,2014
ALPRALID 1MG 30TAB,30.0,17.12,23.45,27.68,2014
