Medication_Name,Package_Size,Max_Retailer_Price,Max_Consumer_Price,Max_Consumer_VAT_Price,Year
ABBOSYNAGIS 100MG PUL FOR INJ+SOLV,1.0,3308.4473,3722.0032125,4354.743598893951,2018
ABBOSYNAGIS 50MG PUL FOR INJ+SOLV,1.0,1974.4173,2221.2194625,2598.8266758006025,2018
ABELCET 5MG/ML VIAL 20ML (100MG/20ML),1.0,464.5138,545.803715,638.5903231266457,2018
ABILIFY  MAINTENA 300 MG VIAL,1.0,1031.5871,1212.1148425,1418.1743137066742,2018
ABILIFY 10MG 28TAB,28.0,169.1676,211.4595,247.40760592514275,2018
ABILIFY 15MG 28TAB,28.0,176.6324,220.79049999999998,258.3248755246997,2018
ABILIFY 30MG 28TAB,28.0,267.1424,313.89232000000004,367.2540009292031,2018
ABILIFY 5MG 28TAB,28.0,160.4204,200.5255,234.61482639437912,2018
ABILIFY MAINTENA 400 MG/PREFILLED SYR,1.0,1038.1353,1219.8089774999999,1427.1764513264777,2018
ABIRATERONE ACETATE 250MG 120TAB,120.0,12728.424,14319.477,16753.787475474717,2018
ABITREN 100MG 10 SR TAB,10.0,7.176,9.83112,11.502409978094102,2018
ABITREN 100MG 20 SR TAB,20.0,12.11,16.590700000000002,19.4111182880044,2018
ABITREN 50MG 10SUPP,10.0,8.04,11.0148,12.887315527296066,2018
ABITREN INJ 75MG/3CC,5.0,8.074,11.06138,12.94181412529707,2018
ABRAXANE 5MG/ML VIAL 100MG/20ML,1.0,1031.8954,1212.4770950000002,1418.5981491161283,2018
ABSTRAL 100MCG 30TAB SUBLINGUAL,30.0,664.227,780.466725,913.1460347560019,2018
ABSTRAL 200MCG 30TAB SUBLINGUAL,30.0,726.891,854.0969249999999,999.2933655961364,2018
ABSTRAL 400MCG 30TAB SUBLINGUAL,30.0,758.538,891.28215,1042.8000772503196,2018
ABSTRAL 600MCG 30TAB SUBLINGUAL,30.0,766.482,900.61635,1053.7210908497393,2018
ABSTRAL 800MCG 30 TAB SUBLINGUAL,30.0,756.456,888.8358000000001,1039.9378478553058,2018
ACERIL 12.5MG 90TAB,90.0,10.6058,14.529946000000002,17.00003619644237,2018
ACERIL 25MG 90TAB,90.0,22.608,30.972960000000004,36.238361870784765,2018
ACERIL 50MG 90TAB,90.0,29.781,40.79997,47.735963149055245,2018
ACLASTA 5MG/100ML 1BOTTLE,1.0,784.1897,921.4228975000001,1078.0647505318193,2018
ACNETRIM SOL 25ML,25.0,10.98,15.042600000000002,17.599841354441644,2018
ACROSE 100MG 30TAB,30.0,17.067,23.381790000000002,27.356693296562437,2018
ACROSE 50MG 30TAB,30.0,11.856,16.242720000000002,19.00398170293808,2018
ACTEMRA 162 MG S.C. 4 SYRINGE PREFILLED,4.0,3813.7904,4290.5142,5019.901429871105,2018
ACTEMRA 20MG/ML 1X10ML(200MG) CONC. FOR SOLUTION FOR INF.,1.0,1403.4835,1649.0931125000002,1929.4388708536017,2018
ACTEMRA 20MG/ML 1X4ML(80MG) CONC. FOR SOLUTION FOR INF.,1.0,567.5247,666.8415225000001,780.2045527072667,2018
ACTILYSE 20 MG 1VIAL/20ML,1.0,703.6141,826.7465675000001,967.2934484948865,2018
ACTILYSE 50 MG 1VIAL/50ML,1.0,3150.0,3543.75,4146.187347918749,2018
ACTIQ 1200MCG 30 COMPRESSED TAB,30.0,853.566,1002.94005,1173.4398154584826,2018
ACTIQ 1600MCG 30 COMPRESSED TAB,30.0,853.566,1002.94005,1173.4398154584826,2018
ACTIQ 200MCG 30 COMPRESSED TAB,30.0,726.891,854.0969249999999,999.2933655961364,2018
ACTIQ 400MCG 30 COMPRESSED TAB,30.0,758.538,891.28215,1042.8000772503196,2018
ACTIQ 600MCG 30 COMPRESSED TAB,30.0,766.482,900.61635,1053.7210908497393,2018
ACTIQ 800MCG 30 COMPRESSED TAB,30.0,756.456,888.8358000000001,1039.9378478553058,2018
ACTIVELLE 28TAB,28.0,33.3312,45.66374400000001,53.42657852032472,2018
ACTONEL ONCE A MONTH 150 MG 1 F.C. TAB,1.0,,,,2018
ACTOS 15MG 28TAB,28.0,48.9412,65.825914,77.01631655505824,2018
ACTOS 30MG 28TAB,28.0,99.8984,124.87299999999999,146.10140464103222,2018
ACTOS 45MG 28TAB,28.0,137.3512,171.68900000000002,200.8761226319075,2018
ACYCLO-V 200MG 30TAB,30.0,26.82,36.7434,42.98977642314434,2018
ACYCLO-V 400MG 30TAB,30.0,22.863,31.32231,36.64710135579229,2018
ACYCLOVENIR 250MG 5VIAL/10ML,5.0,136.9625,171.203125,200.30764890275896,2018
ADAFERIN CREAM 0.1% 30GR,30.0,23.016,31.53192,36.8923450467968,2018
ADAFERINE GEL 30GR,30.0,23.214,31.80318,37.20971923515558,2018
ADCETRIS 50MG/VIAL,1.0,13305.7138,14968.928025,17513.6451468533,2018
ADCIRCA 20MG 56TAB,56.0,2084.0568,2344.5638999999996,2743.139662382233,2018
ADEMPAS 1.5MG 42TAB,42.0,4961.439,5581.618875,6530.493844212905,2018
ADEMPAS 1MG 42TAB,42.0,4961.439,5581.618875,6530.493844212905,2018
ADEMPAS 2.5MG 84TAB,84.0,9922.878,11163.23775,13060.98768842581,2018
ADEMPAS 2MG 42TAB,42.0,4961.439,5581.618875,6530.493844212905,2018
ADIZEM CD 120MG 30CAP,30.0,17.565,24.064050000000005,28.154937467283016,2018
ADIZEM CD 180MG 30CAP,30.0,27.024,37.02288,43.31676801115036,2018
ADIZEM CD 240MG 30CAP,30.0,37.098,50.82426,59.46438201885939,2018
ADVAGRAF 0.5MG 50  P.R. CAPS,50.0,151.725,189.65625,221.89780436083674,2018
ADVAGRAF 1MG 50  P.R. CAPS,50.0,293.7,345.0975,403.764060190022,2018
ADVAGRAF 3MG 50  P.R. CAPS,50.0,870.645,1023.007875,1196.9191698472648,2018
ADVAGRAF 5MG 50  P.R. CAPS,50.0,1430.19,1680.4732500000002,1966.1536303819123,2018
ADVATE 1000 IU VIAL,1.0,2655.3108,2987.22465,3495.052712302226,2018
ADVATE 250 IU VIAL,1.0,661.3383,777.0725025,909.1747945766662,2018
ADVATE 500 IU VIAL,1.0,1306.7417,1535.4214975000002,1796.4430861818582,2018
AERIUS 5MG 15TAB,15.0,9.4647,12.966639000000002,15.170967073532227,2018
AERIUS 5MG 30TAB,30.0,17.835,24.433950000000003,28.58772045140863,2018
AERIUS SYRUP 0.5MG/ML 120ML,120.0,9.516,13.03692,15.25319584051609,2018
AEROVENT SOL 20ML,20.0,17.094,23.41878,27.399971594974996,2018
AFINITOR 10MG 30TABLETS,30.0,13561.164,15256.309500000001,17849.881460270226,2018
AFINITOR 2.5MG 30TABLETS,30.0,5237.847,5892.577875,6894.315860867992,2018
AFINITOR 5MG 30TABLETS,30.0,9589.755,10788.474375,12622.514555758908,2018
AFLUMYCIN CREAM 20GR,20.0,,,,2018
AGGRASTAT 0.05MG/ML BAG 250ML,250.0,547.4,643.195,752.5381223970652,2018
AGIOLAX GRANULES 200GR,200.0,42.14,56.6783,66.31360856763125,2018
AGISERC 16MG 30TAB,30.0,9.735,13.33695,15.604230927640199,2018
AGISPOR ONYCHOSET OINT 10GR (WITH WATER PROOF PLASTERS),10.0,77.234,103.87973,121.53927964196562,2018
AGISPOR SHAMPO 100ML,100.0,,,,2018
AGISTEN 3 VCR 20GR 2%,20.0,15.986,21.900820000000003,25.623958460118775,2018
AGISTEN LOZENGES 10 MG 70 TABLETS,70.0,,,,2018
AHISTON 2MG 20TAB,20.0,,,,2018
AKNE-MYCIN PLUS SOL 25ML,25.0,35.82,49.07340000000001,57.415875893998155,2018
AKNE-MYCIN SOL 25ML,25.0,10.98,15.042600000000002,17.599841354441644,2018
AKYNZEO 1 PACKS,1.0,255.3896,300.08278,351.0968397218442,2018
ALBUNORM 5% VIAL 100ML,100.0,53.62,72.1189,84.37910990499257,2018
ALBUNORM 5% VIAL 250ML,250.0,134.05,167.5625,196.04811780899763,2018
ALCON AZOPT 1% 5ML,5.0,29.1315,39.910155,46.69487963724196,2018
ALDACTONE 25MG 20T,20.0,7.15,9.7955,11.460734579622747,2018
ALDARA 5% CREAM 12SACH,12.0,175.1772,218.9715,256.1966456027627,2018
ALDURAZYME 500U/5ML 1VIAL(5ML),1.0,2635.0656,2964.4488,3468.4049687796596,2018
ALECENSA 150MG 240 CAPS,240.0,27588.0,31036.5,36312.70366805792,2018
ALENDRONATE TEVA 10MG 30TAB,30.0,45.834,61.646730000000005,72.12667145440936,2018
ALENDRONATE TEVA 70MG 4TAB,4.0,26.5188,36.330756,42.5069829608531,2018
ALEXAN 1000MG/20ML VIAL,1.0,72.7626,97.86569700000001,114.50286129005994,2018
ALEXAN 2000MG/40ML VIAL,1.0,,,,2018
ALFU-KAL XL 10MG 30TAB,30.0,46.701,62.812845,73.49102595436514,2018
ALFUZOSIN ER TEVA 10MG 30 XR TAB,30.0,46.701,62.812845,73.49102595436514,2018
ALIMTA 100MG/VIAL VIAL 10ML,1.0,746.2339,876.8248325,1025.8850163957604,2018
ALIMTA 500MG/VIAL VIAL 50ML,1.0,3658.8533,4116.2099625,4815.965479476433,2018
ALKERAN  2MG 25 TABS,25.0,160.1675,200.209375,234.24496015794574,2018
ALKERAN INJ 50MG/10ML,1.0,104.8035,131.004375,153.27511312790216,2018
ALLORIL 100MG 50TAB,50.0,8.5,11.645000000000001,13.624649500250818,2018
ALLORIL 300MG 20TAB,20.0,7.2,9.864,11.540879576683045,2018
ALLORIL 300MG 30TAB,30.0,10.8,14.796000000000003,17.31131936502457,2018
ALPHA D3 0.25MCG 30CAP,30.0,14.805,20.28285,23.73093362955451,2018
ALPHA D3 1MCG 30CAP,30.0,35.712,48.92544000000001,57.24276270034791,2018
ALPHAGAN P 0.15% 5ML,5.0,,,,2018
ALPRALID 0.25MG 30TAB,30.0,6.63,9.0831,10.627226610195637,2018
ALPRALID 0.50MG 30TAB,30.0,9.705,13.295850000000002,15.556143929404023,2018
